id,is_iceberg
5941774d,0
4023181e,0
b20200e4,0
e7f018bb,1
4371c8c3,0
a8d9b1fd,0
29e7727e,0
92a51ffb,1
c769ac97,0
aee0547d,0
565b28ac,0
e04e9775,0
8e8161d1,0
4cf4d256,0
139e5324,0
f156976f,0
68a117cc,0
d9aa7a56,0
9005b143,0
5f6d3988,1
9ad70954,0
b9087b9e,1
a39a1427,0
82fbe8ed,0
1fae4879,0
6dd8f13d,0
bbad5958,0
54527583,0
be8fa29c,0
81a3328f,1
1a3c0ab3,0
4deeeb8b,0
ac6d5632,0
472dadb5,0
96093f95,0
f5b4e3df,0
e01a3c92,1
001680af,0
8e639f33,0
a2c16612,0
a6d76474,0
19c47684,0
015827b6,0
7df7f7ce,0
0bbf1a3f,0
636cfbb7,1
7370030a,1
43aa97ad,0
ba2b5e63,1
dfdd335b,0
e79b13dc,0
dc32b195,0
6d868590,1
75fa59aa,0
ffe50836,0
a7bfd784,0
b3d569e3,1
6c538c5b,1
5c7c15f4,0
0b745139,0
fd14608e,0
f0bc8305,0
a10ccb28,1
543304c7,0
6c3a4078,0
9b73cc75,0
5c6c71b1,1
09ee9186,0
207c35cf,0
153c813e,0
5605d58b,0
642ca396,0
d32d72c0,0
16646a17,1
384074af,0
69bf1e8c,0
9e90a054,0
89dbe7f7,1
dbd27d22,0
a2ea1561,0
d63402af,0
1ac8bb92,0
8beffca5,0
46741f3e,0
e5ee6aa7,0
5ecd892b,0
69892166,0
2f725a81,0
810abfe4,0
e6f973e6,0
c60a5c46,0
c42b9e08,0
c3f00c23,0
5307fdb8,1
3e4f005e,1
4a4cc2e0,1
9bdd88d1,0
0d832bed,0
14a134fa,0
78a41676,0
0bd4658e,0
4a311bb0,0
f939c817,0
956adc4d,1
f8a119f5,0
61faa1ad,0
6725eb3e,0
17b3a8fd,0
49a88dfc,0
2d6ec645,0
0d4d77ba,0
3ee672a2,1
738b41fd,0
f7fb320d,0
b42fad18,0
4ab8b00a,0
f7870f2b,1
4978666a,0
f1b0d6c7,1
5642407f,0
36d4ff92,1
4139aba2,0
7585ce58,0
33e25984,1
ac46f3c9,0
fc34a5b8,1
85c36a8f,0
b2d8a426,1
13ec60d1,1
9d440f42,0
